Episode,Reward,Length,WinRate,Loss,Entropy
486,-184.0,187,0.03,,
487,-114.0,88,0.03,,
488,-67.0,213,0.03,,
489,-139.0,197,0.03,,
490,-163.0,285,0.03,,
491,-242.0,163,0.03,,
492,1279.0,341,0.04,,
493,-142.0,104,0.04,,
494,26.0,148,0.04,,
495,36.0,127,0.04,,
496,-172.0,323,0.04,,
497,-457.0,13,0.04,,
498,-428.0,15,0.04,,
499,-205.0,189,0.04,,
500,-377.0,33,0.04,,
501,294.0,252,0.04,,
502,887.0,325,0.05,,
503,-447.0,13,0.05,,
504,-119.0,98,0.05,,
505,-411.0,21,0.05,,
506,-294.0,107,0.05,,
507,-164.0,147,0.05,,
508,-81.0,242,0.05,,
509,-351.0,121,0.05,,
510,-428.0,15,0.05,,
511,95.0,289,0.05,,
512,-428.0,15,0.05,,
513,-428.0,15,0.05,,
514,-428.0,15,0.05,,
515,73.0,173,0.05,,
516,-164.0,167,0.05,,
517,-31.0,122,0.04,,
518,-159.0,197,0.04,,
519,-343.0,165,0.04,,
520,-428.0,15,0.04,,
521,-428.0,15,0.04,,
522,-84.0,67,0.04,,
523,-205.0,89,0.04,,
524,-290.0,199,0.04,,
525,-358.0,35,0.04,,
526,-191.0,121,0.04,,
527,-156.0,351,0.04,,
528,-428.0,15,0.04,,
529,-324.0,47,0.04,,
530,-428.0,15,0.04,,
531,-85.0,189,0.04,,
532,-203.0,105,0.04,,
533,-447.0,13,0.04,,
534,-429.0,17,0.04,,
535,-57.0,73,0.04,,
536,-168.0,36,0.04,,
537,-79.0,98,0.04,,
538,-428.0,15,0.04,,
539,-251.0,121,0.04,,
540,-366.0,31,0.04,,
541,-439.0,17,0.04,,
542,-6.0,91,0.04,,
543,-133.0,46,0.04,,
544,-208.0,215,0.04,,
545,-278.0,175,0.04,,
546,79.0,141,0.04,,
547,-67.0,73,0.04,,
548,-177.0,34,0.04,,
549,-172.0,163,0.04,,
550,-343.0,45,0.04,,
551,940.0,219,0.05,,
552,-181.0,41,0.05,,
553,-215.0,109,0.05,,
554,-150.0,39,0.05,,
555,-428.0,15,0.05,,
556,-123.0,285,0.05,,
557,-338.0,35,0.05,,
558,-114.0,247,0.05,,
559,-439.0,17,0.04,,
560,13.0,173,0.04,,
561,-345.0,249,0.04,,
562,1096.0,307,0.05,,
563,-430.0,19,0.05,,
564,-335.0,49,0.05,,
565,-169.0,37,0.05,,
566,-154.0,147,0.05,,
567,-204.0,107,0.05,,
568,-170.0,259,0.05,,
569,927.0,245,0.06,,
570,-261.0,121,0.06,,
571,-150.0,39,0.06,,
572,-325.0,49,0.06,,
573,-378.0,35,0.06,,
574,-308.0,75,0.06,,
575,-268.0,175,0.06,,
576,-19.0,177,0.06,,
577,-101.0,181,0.06,,
578,-359.0,37,0.06,,
579,-127.0,93,0.05,,
580,-27.0,93,0.05,,
581,-75.0,130,0.05,,
582,-190.0,279,0.05,,
583,-196.0,131,0.05,,
584,-313.0,45,0.05,,
585,-319.0,57,0.05,,
586,-200.0,99,0.05,,
587,-61.0,161,0.05,,
588,-29.0,257,0.05,,
589,-43.0,145,0.05,,
590,-295.0,289,0.05,,
591,73.0,253,0.05,,
592,-149.0,137,0.04,,
593,-155.0,209,0.04,,
594,-428.0,15,0.04,,
595,1070.0,359,0.05,,
596,-160.0,59,0.05,,
597,-71.0,281,0.05,,
598,-419.0,17,0.05,,
599,-93.0,185,0.05,,
600,-457.0,13,0.05,,
601,-159.0,58,0.05,,
602,-310.0,59,0.04,,
603,-428.0,15,0.04,,
604,-110.0,60,0.04,,
605,-439.0,17,0.04,,
606,-116.0,151,0.04,,
607,-221.0,101,0.04,,
608,926.0,247,0.05,,
609,-172.0,103,0.05,,
610,-187.0,33,0.05,,
611,-411.0,21,0.05,,
612,-159.0,237,0.05,,
613,-183.0,325,0.05,,
614,-38.0,375,0.05,,
615,-53.0,126,0.05,,
616,41.0,177,0.05,,
617,-224.0,167,0.05,,
618,-302.0,43,0.05,,
619,48.0,123,0.05,,
620,929.0,241,0.06,,
621,-176.0,151,0.06,,
622,-428.0,15,0.06,,
623,-273.0,145,0.06,,
624,92.0,115,0.06,,
625,-42.0,103,0.06,,
626,938.0,223,0.07,,
627,-162.0,403,0.07,,
628,7.0,125,0.07,,
629,-106.0,271,0.07,,
630,903.0,293,0.08,,
631,-266.0,91,0.08,,
632,-378.0,55,0.08,,
633,270.0,500,0.08,,
634,-59.0,77,0.08,,
635,-199.0,237,0.08,,
636,-136.0,52,0.08,,
637,-73.0,85,0.08,,
638,-176.0,32,0.08,,
639,-32.0,303,0.08,,
640,-91.0,181,0.08,,
641,-180.0,399,0.08,,
642,116.0,167,0.08,,
643,-366.0,31,0.08,,
644,-302.0,43,0.08,,
645,-130.0,319,0.08,,
646,97.0,265,0.08,,
647,-85.0,90,0.08,,
648,-365.0,29,0.08,,
649,-51.0,142,0.08,,
