Episode,Reward,Length,WinRate,Loss,Entropy
351,-395.0,0,0.0,,
352,-434.0,0,0.0,,
353,-414.0,0,0.0,,
354,-378.0,0,0.0,,
355,-378.0,0,0.0,,
356,-414.0,0,0.0,,
357,-446.0,0,0.0,,
358,-325.0,0,0.0,,
359,-400.0,0,0.0,,
360,-380.0,0,0.0,,
361,-441.0,0,0.0,,
362,-390.0,0,0.0,,
363,-471.0,0,0.0,,
364,-435.0,0,0.0,,
365,-407.0,0,0.0,,
366,-435.0,0,0.0,,
367,-372.0,0,0.0,,
368,-329.0,0,0.0,,
369,-345.0,0,0.0,,
370,-442.0,0,0.0,,
371,-430.0,0,0.0,,
372,-449.0,0,0.0,,
373,-408.0,0,0.0,,
374,-412.0,0,0.0,,
375,-397.0,0,0.0,,
376,-402.0,0,0.0,,
377,-466.0,0,0.0,,
378,-397.0,0,0.0,,
379,-397.0,0,0.0,,
380,-411.0,0,0.0,,
381,-438.0,0,0.0,,
382,-421.0,0,0.0,,
383,-407.0,0,0.0,,
384,-439.0,0,0.0,,
385,-428.0,0,0.0,,
386,-430.0,0,0.0,,
387,-408.0,0,0.0,,
388,-413.0,0,0.0,,
389,-420.0,0,0.0,,
390,-328.0,0,0.0,,
391,-452.0,0,0.0,,
392,-156.0,0,0.0,,
393,-473.0,0,0.0,,
394,-470.0,0,0.0,,
395,-431.0,0,0.0,,
396,-332.0,0,0.0,,
397,-443.0,0,0.0,,
398,-428.0,0,0.0,,
399,-395.0,0,0.0,,
400,-316.0,0,0.0,,
401,-440.0,0,0.0,,
402,-471.0,0,0.0,,
403,-461.0,0,0.0,,
404,-384.0,0,0.0,,
405,-407.0,0,0.0,,
406,-395.0,0,0.0,,
407,-428.0,0,0.0,,
408,-422.0,0,0.0,,
409,-326.0,0,0.0,,
410,-397.0,0,0.0,,
411,-418.0,0,0.0,,
412,-397.0,0,0.0,,
413,-420.0,0,0.0,,
414,-470.0,0,0.0,,
415,-419.0,0,0.0,,
416,-453.0,0,0.0,,
417,-406.0,0,0.0,,
418,-471.0,0,0.0,,
419,-397.0,0,0.0,,
420,-451.0,0,0.0,,
421,-387.0,0,0.0,,
422,-412.0,0,0.0,,
423,-339.0,0,0.0,,
424,-464.0,0,0.0,,
425,-341.0,0,0.0,,
426,-404.0,0,0.0,,
427,-383.0,0,0.0,,
428,-469.0,0,0.0,,
429,-440.0,0,0.0,,
430,-474.0,0,0.0,,
431,-182.0,0,0.0,,
432,-359.0,0,0.0,,
433,-420.0,0,0.0,,
434,-388.0,0,0.0,,
435,-468.0,0,0.0,,
436,-383.0,0,0.0,,
437,-381.0,0,0.0,,
438,-380.0,0,0.0,,
439,-474.0,0,0.0,,
440,-395.0,0,0.0,,
441,-425.0,0,0.0,,
442,-411.0,0,0.0,,
443,-412.0,0,0.0,,
444,-395.0,0,0.0,,
445,-430.0,0,0.0,,
446,-402.0,0,0.0,,
447,-429.0,0,0.0,,
448,-467.0,0,0.0,,
449,-385.0,0,0.0,,
450,-434.0,0,0.0,,
451,-386.0,0,0.0,,
452,-323.0,0,0.0,,
453,-451.0,0,0.0,,
454,-333.0,0,0.0,,
455,-403.0,0,0.0,,
456,-329.0,0,0.0,,
457,-461.0,0,0.0,,
458,-326.0,0,0.0,,
459,-308.0,0,0.0,,
460,-381.0,0,0.0,,
461,-380.0,0,0.0,,
462,-388.0,0,0.0,,
463,-301.0,0,0.0,,
464,-296.0,0,0.0,,
465,-361.0,0,0.0,,
466,-394.0,0,0.0,,
467,-322.0,0,0.0,,
468,-397.0,0,0.0,,
469,-404.0,0,0.0,,
470,-404.0,0,0.0,,
471,-442.0,0,0.0,,
472,-419.0,0,0.0,,
473,-414.0,0,0.0,,
474,-472.0,0,0.0,,
475,-383.0,0,0.0,,
476,-404.0,0,0.0,,
477,-441.0,0,0.0,,
478,-402.0,0,0.0,,
479,-369.0,0,0.0,,
480,-342.0,0,0.0,,
481,-397.0,0,0.0,,
482,-420.0,0,0.0,,
483,-406.0,0,0.0,,
484,-370.0,0,0.0,,
485,-406.0,0,0.0,,
486,-439.0,0,0.0,,
487,-106.0,0,0.0,,
488,-404.0,0,0.0,,
489,-435.0,0,0.0,,
490,-396.0,0,0.0,,
491,-369.0,0,0.0,,
492,-405.0,0,0.0,,
493,-450.0,0,0.0,,
494,-405.0,0,0.0,,
495,-241.0,0,0.0,,
496,-460.0,0,0.0,,
497,-259.0,0,0.0,,
498,-472.0,0,0.0,,
499,-428.0,0,0.0,,
500,-404.0,0,0.0,,
